"Region","Gender","Year","VerySatisfied","SlightlySatisfied","SatisfiedRate","Neutral","SlightlyDissatisfied","VeryDissatisfied","DissatisfiedRate","SatisfactionScore","SuicideRate"
"세종특별자치시","Total","2023","15.9","37.4","53.3","35.1","9.3","2.2","11.5","3.552","20"
"세종특별자치시","Total","2024","16.5","26.3","42.8","36.4","17.4","3.4","20.8","3.351","23"
"세종특별자치시","Male","2020","26.6","32.8","59.4","32.6","6.5","1.5","8","3.765","18.5"
"세종특별자치시","Male","2021","17.2","27.7","44.9","36","14.2","4.9","19.1","3.381","24.3"
"세종특별자치시","Male","2022","19.3","34.6","53.9","36.9","7.8","1.4","9.2","3.626","34"
"세종특별자치시","Male","2023","16.7","36.1","52.8","35.9","9","2.2","11.2","3.558","22.5"
"세종특별자치시","Male","2024","17.9","24.9","42.8","35.9","17.4","4","21.4","3.356","29"
"세종특별자치시","Female","2020","23.7","34.2","57.9","33.3","7","1.7","8.7","3.709","18.4"
"세종특별자치시","Female","2021","14.8","32.5","47.3","33.5","15.9","3.3","19.2","3.396","13.8"
"세종특별자치시","Female","2022","16.5","35.2","51.7","36.1","10.7","1.4","12.1","3.544","12.7"
"세종특별자치시","Female","2023","15.2","38.6","53.8","34.3","9.7","2.2","11.9","3.549","17.6"
"세종특별자치시","Female","2024","15.2","27.6","42.8","36.9","17.5","2.8","20.3","3.349","16.9"
"경기도","Total","2020","15.2","29.1","44.3","43.3","9.8","2.6","12.4","3.445","23.7"
"경기도","Total","2021","10","23.3","33.3","41","20.5","5.2","25.7","3.124","23.6"
"경기도","Total","2022","12.4","30.2","42.6","42.9","11.8","2.7","14.5","3.378","23.1"
"경기도","Total","2023","11.8","29.5","41.3","43.1","12.3","3.3","15.6","3.342","25.1"
"경기도","Total","2024","10.3","25.4","35.7","51.4","10.7","2.3","13","3.31","28.2"
"경기도","Male","2020","15.8","29.1","44.9","42.6","9.8","2.7","12.5","3.455","32.3"
"경기도","Male","2021","10.4","22.7","33.1","41.1","20.4","5.5","25.9","3.124","31.3"
"경기도","Male","2022","11.6","30.9","42.5","43.1","11.6","2.7","14.3","3.368","31.4"
"경기도","Male","2023","12.2","29.2","41.4","43.1","11.7","3.7","15.4","3.342","35.1"
"경기도","Male","2024","10.5","25.6","36.1","51.9","10","2.1","12.1","3.327","39.5"
"경기도","Female","2020","14.5","29.2","43.7","44","9.9","2.4","12.3","3.435","14.9"
"경기도","Female","2021","9.6","23.9","33.5","41","20.6","4.9","25.5","3.127","15.7"
"경기도","Female","2022","13.2","29.5","42.7","42.7","11.9","2.6","14.5","3.385","14.6"
"경기도","Female","2023","11.5","29.7","41.2","43.1","12.9","2.8","15.7","3.342","15.1"
"경기도","Female","2024","10.2","25.1","35.3","50.9","11.3","2.4","13.7","3.291","16.7"
"강원특별자치도","Total","2020","13.9","31.9","45.8","42.3","9.4","2.5","11.9","3.453","33.2"
"강원특별자치도","Total","2021","12.2","25.3","37.5","43.6","15","4","19","3.27","32.7"
"강원특별자치도","Total","2022","13.7","31.9","45.6","40.3","12.1","2","14.1","3.432","33.1"
"강원특별자치도","Total","2023","14.1","33","47.1","40.3","10.7","1.8","12.5","3.466","34.7"
"강원특별자치도","Total","2024","12.1","30.1","42.2","47.7","8.5","1.7","10.2","3.427","34.3"
"강원특별자치도","Male","2020","13.8","33.1","46.9","42.2","8.4","2.5","10.9","3.473","45.6"
"강원특별자치도","Male","2021","13.6","23.4","37","43.8","15","4.1","19.1","3.271","45.4"
"강원특별자치도","Male","2022","15.5","31.8","47.3","39","11.8","1.9","13.7","3.472","47.5"
"강원특별자치도","Male","2023","15.7","33.2","48.9","39.1","10.4","1.6","12","3.51","50.7"
"강원특별자치도","Male","2024","12.4","32.2","44.6","46.5","7.5","1.5","9","3.468","52.3"
"강원특별자치도","Female","2020","13.9","30.7","44.6","42.4","10.3","2.6","12.9","3.427","20.7"
"강원특별자치도","Female","2021","10.8","27.2","38","43.3","14.9","3.8","18.7","3.263","19.9"
"강원특별자치도","Female","2022","11.9","32","43.9","41.5","12.5","2.1","14.6","3.391","18.5"
"강원특별자치도","Female","2023","12.5","32.9","45.4","41.5","11.1","2","13.1","3.428","18.6"
"강원특별자치도","Female","2024","11.8","28","39.8","48.8","9.5","1.9","11.4","3.383","16.2"
"충청북도","Total","2020","12.4","28.1","40.5","46.8","10.4","2.4","12.8","3.38","27.1"
"충청북도","Total","2021","11","24.5","35.5","46.2","14.8","3.4","18.2","3.246","31.8"
"충청북도","Total","2022","11.4","31.2","42.6","43.2","11.6","2.6","14.2","3.372","29"
"충청북도","Total","2023","13.5","31.8","45.3","39.9","11.6","3.2","14.8","3.408","33.3"
"충청북도","Total","2024","13","27.7","40.7","47","10","2.2","12.2","3.39","31.8"
"충청북도","Male","2020","13.1","27.8","40.9","47.4","9.9","1.7","11.6","3.404","38.5"
"충청북도","Male","2021","11.4","24.9","36.3","46.5","13.5","3.7","17.2","3.268","44.5"
"충청북도","Male","2022","11.5","30.2","41.7","44","11.6","2.6","14.2","3.361","38.3"
"충청북도","Male","2023","13.3","30.8","44.1","41.1","11.2","3.6","14.8","3.39","45.3"
"충청북도","Male","2024","12.4","28.1","40.5","47.2","10","2.3","12.3","3.383","46.7"
"충청북도","Female","2020","11.6","28.3","39.9","46.1","10.9","3.1","14","3.344","15.4"
"충청북도","Female","2021","10.6","24.1","34.7","46","16.3","3.1","19.4","3.231","18.7"
"충청북도","Female","2022","11.3","32.1","43.4","42.4","11.6","2.5","14.1","3.378","19.4"
"충청북도","Female","2023","13.6","32.8","46.4","38.8","12.1","2.7","14.8","3.425","20.8"
"충청북도","Female","2024","13.6","27.4","41","46.9","10.1","2.1","12.2","3.406","16.4"
"충청남도","Total","2020","12.1","24.7","36.8","52.8","8.9","1.4","10.3","3.369","34.7"
"충청남도","Total","2021","12.4","27.8","40.2","41.7","15.3","2.8","18.1","3.317","32.2"
"충청남도","Total","2022","15.2","32.3","47.5","43.1","7.7","1.7","9.4","3.516","33.2"
"충청남도","Total","2023","15.1","30","45.1","43.3","9.4","2.3","11.7","3.465","36.5"
"충청남도","Total","2024","16.3","30.7","47","46.7","4.9","1.3","6.2","3.555","34.8"
"충청남도","Male","2020","13.2","24.4","37.6","51","9.8","1.7","11.5","3.379","47.9"
"충청남도","Male","2021","14","28.7","42.7","39.4","14.7","3.2","17.9","3.356","45"
"충청남도","Male","2022","16.1","30.7","46.8","43.9","7.6","1.7","9.3","3.519","48.3"
"충청남도","Male","2023","17","29.2","46.2","43.1","8.3","2.3","10.6","3.5","50"
"충청남도","Male","2024","17.2","31.2","48.4","44.5","5.2","1.8","7","3.565","51.1"
"충청남도","Female","2020","11.1","25","36.1","54.8","8","1.1","9.1","3.37","21"
"충청남도","Female","2021","10.8","26.8","37.6","44.1","15.9","2.4","18.3","3.277","18.8"
"충청남도","Female","2022","14.4","33.9","48.3","42.3","7.8","1.7","9.5","3.518","17.3"
"충청남도","Female","2023","13","30.8","43.8","43.4","10.5","2.2","12.7","3.416","22.2"
"충청남도","Female","2024","15.3","30.3","45.6","49.1","4.6","0.7","5.3","3.549","17.6"
"전북특별자치도","Total","2020","12.4","28.7","41.1","46.6","10.3","2","12.3","3.392","27.8"
"전북특별자치도","Total","2021","10.5","27.7","38.2","42.9","15.7","3.2","18.9","3.266","28.5"
"전북특별자치도","Total","2022","11","32.8","43.8","43.5","10.1","2.5","12.6","3.394","26.1"
"전북특별자치도","Total","2023","11.8","35.3","47.1","37.5","11.4","3.9","15.3","3.394","25.6"
"전북특별자치도","Total","2024","10.6","34.2","44.8","41","11.1","3","14.1","3.38","32.3"
"전북특별자치도","Male","2020","13.9","27.9","41.8","44.5","11.4","2.4","13.8","3.398","41.7"
"전북특별자치도","Male","2021","10.5","28.8","39.3","41.5","14.9","4.3","19.2","3.263","42.5"
"전북특별자치도","Male","2022","11","33.4","44.4","43","9.1","3.5","12.6","3.393","38.5"
"전북특별자치도","Male","2023","12.6","35","47.6","36.7","11.7","4","15.7","3.405","37.4"
"전북특별자치도","Male","2024","10.3","34.4","44.7","40.9","11.2","3.3","14.5","3.375","45.7"
"전북특별자치도","Female","2020","11","29.5","40.5","48.8","9.2","1.6","10.8","3.394","14"
"전북특별자치도","Female","2021","10.5","26.6","37.1","44.2","16.5","2.2","18.7","3.267","14.6"
"전북특별자치도","Female","2022","11.1","32.3","43.4","44.1","11.1","1.4","12.5","3.406","13.8"
